experiment_id,scenario,start_ts,duration_s,seed
1,BURST,1783207203.159,10.6,4606100
2,HIGH_LOAD,1783207220.448,33.6,2150416
3,MANY_MICE,1783207260.453,3.0,1791974
4,HIGH_LOAD,1783207268.581,65.7,4285297
5,MIX_UDP,1783207341.015,21.0,3220720
6,MANY_MICE,1783207369.169,3.2,4743270
7,CONGESTION,1783207378.401,54.2,7589045
8,LOW_LOAD,1783207438.543,34.8,2123032
9,CONGESTION,1783207480.147,68.8,582903
10,ELEPHANT_FLOW,1783207556.014,91.2,7420267
11,LOW_LOAD,1783207655.085,35.4,1771721
12,FAILURE,1783207696.678,43.8,2096306
13,MEDIUM_LOAD,1783207747.599,40.8,5471417
14,CONGESTION,1783207794.451,50.8,9994780
15,BACKGROUND_TRAFFIC,1783207852.333,85.1,6948038
16,CONGESTION,1783207945.562,58.3,4316157
17,MIX_TCP,1783208011.065,30.9,2477495
18,BACKGROUND_TRAFFIC,1783208048.175,87.4,2040970
19,MANY_MICE,1783208143.898,4.1,1039591
20,MANY_MICE,1783208153.179,4.3,3754176
21,IDLE,1783208162.586,21.6,4831174
22,MIX_TCP,1783208190.328,55.8,2629340
23,BACKGROUND_TRAFFIC,1783208253.331,70.7,2395522
24,BACKGROUND_TRAFFIC,1783208331.306,52.2,5107724
25,MEDIUM_LOAD,1783208390.739,33.2,4170012
26,MEDIUM_LOAD,1783208430.107,45.2,9731208
27,BURST,1783208482.532,13.2,4887077
28,FAILURE,1783208500.863,66.8,5095424
29,IDLE,1783208576.369,10.2,6892115
30,BURST,1783208592.279,7.0,1920869
