timestamp,flow,mbps,pps,avg_pkt,std_pkt,tcp_ratio,udp_ratio,flow_count,active_hosts
0.0,10.0.0.1-10.0.0.5,21.0233,98.0,26815.4,31899.5,1.0,0.0,2,4
1.0,10.0.0.1-10.0.0.5,21.0212,94.0,27953.7,32080.1,1.0,0.0,2,4
2.0,10.0.0.1-10.0.0.5,18.9187,84.0,28152.9,32107.5,1.0,0.0,2,4
3.0,10.0.0.1-10.0.0.5,21.0243,100.0,26280.4,31800.1,1.0,0.0,2,4
4.0,10.0.0.1-10.0.0.5,18.9198,86.0,27499.7,32013.0,1.0,0.0,2,4
5.0,10.0.0.1-10.0.0.5,21.0275,106.0,24796.6,31475.5,1.0,0.0,2,4
6.0,10.0.0.1-10.0.0.5,18.9198,86.0,27499.7,32013.0,1.0,0.0,2,4
7.0,10.0.0.1-10.0.0.5,21.0212,94.0,27953.7,32080.1,1.0,0.0,2,4
8.0,10.0.0.1-10.0.0.5,18.9198,86.0,27499.7,32013.0,1.0,0.0,2,4
9.0,10.0.0.1-10.0.0.5,21.0233,98.0,26815.4,31899.5,1.0,0.0,2,4
10.0,10.0.0.1-10.0.0.5,18.9177,82.0,28837.9,32192.0,1.0,0.0,2,4
11.0,10.0.0.1-10.0.0.5,21.0212,94.0,27953.7,32080.1,1.0,0.0,2,4
12.0,10.0.0.1-10.0.0.5,18.9208,88.0,26876.2,31910.2,1.0,0.0,2,4
13.0,10.0.0.1-10.0.0.5,21.0243,100.0,26280.4,31800.1,1.0,0.0,2,4
14.0,10.0.0.1-10.0.0.5,21.0212,94.0,27953.7,32080.1,1.0,0.0,2,4
15.0,10.0.0.1-10.0.0.5,18.9177,82.0,28837.9,32192.0,1.0,0.0,2,4
16.0,10.0.0.1-10.0.0.5,21.0233,98.0,26815.4,31899.5,1.0,0.0,2,4
17.0,10.0.0.1-10.0.0.5,18.9177,82.0,28837.9,32192.0,1.0,0.0,2,4
18.0,10.0.0.1-10.0.0.5,21.0243,100.0,26280.4,31800.1,1.0,0.0,2,4
19.0,10.0.0.1-10.0.0.5,18.9198,86.0,27499.7,32013.0,1.0,0.0,2,4
20.0,10.0.0.1-10.0.0.5,21.0212,94.0,27953.7,32080.1,1.0,0.0,2,4
21.0,10.0.0.1-10.0.0.5,18.9198,86.0,27499.7,32013.0,1.0,0.0,2,4
22.0,10.0.0.1-10.0.0.5,21.0233,98.0,26815.4,31899.5,1.0,0.0,2,4
23.0,10.0.0.1-10.0.0.5,4.2303,48.0,11016.5,24244.2,1.0,0.0,2,4
25.0,10.0.0.1-10.0.0.5,84.1437,480.0,21912.4,30108.0,1.0,0.0,3,6
26.0,10.0.0.1-10.0.0.5,100.9104,468.0,26952.6,31923.4,1.0,0.0,3,6
27.0,10.0.0.1-10.0.0.5,100.9083,464.0,27184.3,31962.6,1.0,0.0,3,6
28.0,10.0.0.1-10.0.0.5,100.9115,470.0,26838.2,31903.5,1.0,0.0,3,6
29.0,10.0.0.1-10.0.0.5,98.8069,456.0,27085.2,31946.0,1.0,0.0,3,6
30.0,10.0.0.1-10.0.0.5,100.9199,486.0,25956.8,31735.5,1.0,0.0,3,6
31.0,10.0.0.1-10.0.0.5,100.9062,460.0,27420.2,32000.6,1.0,0.0,3,6
32.0,10.0.0.1-10.0.0.5,98.8101,462.0,26734.3,31885.0,1.0,0.0,3,6
33.0,10.0.0.1-10.0.0.5,100.9115,470.0,26838.2,31903.5,1.0,0.0,3,6
34.0,10.0.0.1-10.0.0.5,100.9115,470.0,26838.2,31903.5,1.0,0.0,3,6
35.0,10.0.0.1-10.0.0.5,98.8122,466.0,26505.4,31843.0,1.0,0.0,3,6
36.0,10.0.0.1-10.0.0.5,100.9093,466.0,27068.0,31943.1,1.0,0.0,3,6
37.0,10.0.0.1-10.0.0.5,100.9157,478.0,26390.1,31821.3,1.0,0.0,3,6
38.0,10.0.0.1-10.0.0.5,98.8069,456.0,27085.2,31946.0,1.0,0.0,3,6
39.0,10.0.0.1-10.0.0.5,100.9125,472.0,26724.7,31883.3,1.0,0.0,3,6
40.0,10.0.0.1-10.0.0.5,100.9083,464.0,27184.3,31962.6,1.0,0.0,3,6
41.0,10.0.0.1-10.0.0.5,98.8122,466.0,26505.4,31843.0,1.0,0.0,3,6
42.0,10.0.0.1-10.0.0.5,100.9157,478.0,26390.1,31821.3,1.0,0.0,3,6
43.0,10.0.0.1-10.0.0.5,100.9136,474.0,26612.2,31862.8,1.0,0.0,3,6
44.0,10.0.0.1-10.0.0.5,98.8122,466.0,26505.4,31843.0,1.0,0.0,3,6
45.0,10.0.0.1-10.0.0.5,63.0719,298.0,26456.3,31833.8,1.0,0.0,3,6
46.0,10.0.0.1-10.0.0.5,102.7974,535.0,24018.1,30524.2,1.0,0.0,3,6
47.0,10.0.0.1-10.0.0.5,100.9241,494.0,25537.5,31646.7,1.0,0.0,3,6
48.0,10.0.0.1-10.0.0.5,44.1532,214.0,25790.4,31701.0,1.0,0.0,3,6
49.0,10.0.0.1-10.0.0.5,24.6674,123.0,25068.5,29500.6,1.0,0.0,3,6
50.0,10.0.0.1-10.0.0.5,47.3021,220.0,26876.2,31629.9,1.0,0.0,3,6
51.0,10.0.0.1-10.0.0.5,98.809,460.0,26850.3,31814.2,1.0,0.0,3,6
52.0,10.0.0.1-10.0.0.5,100.9199,486.0,25956.8,31735.5,1.0,0.0,3,6
53.0,10.0.0.1-10.0.0.5,100.9262,498.0,25332.9,31601.2,1.0,0.0,3,6
54.0,10.0.0.1-10.0.0.5,52.5608,250.0,26280.4,31800.1,1.0,0.0,3,6
55.0,10.0.0.1-10.0.0.5,2.1321,46.0,5793.7,18342.0,1.0,0.0,3,6
57.0,10.0.0.1-10.0.0.5,307.009,1508.0,25448.4,31422.5,1.0,0.0,4,8
58.0,10.0.0.1-10.0.0.5,401.5304,1776.0,28260.9,31978.6,1.0,0.0,4,8
59.0,10.0.0.1-10.0.0.5,401.5284,1818.0,27607.8,32028.8,1.0,0.0,4,8
60.0,10.0.0.1-10.0.0.5,397.779,1651.0,30116.5,32223.7,1.0,0.0,4,8
61.0,10.0.0.1-10.0.0.5,322.1357,1363.0,29542.9,32241.3,1.0,0.0,4,8
62.0,10.0.0.1-10.0.0.5,285.3574,1124.0,31734.6,32292.4,1.0,0.0,4,8
63.0,10.0.0.1-10.0.0.5,339.8913,1355.0,31355.3,32339.4,1.0,0.0,4,8
64.0,10.0.0.1-10.0.0.5,240.778,1014.0,29681.7,32263.6,1.0,0.0,4,8
65.0,10.0.0.1-10.0.0.5,330.0008,1428.0,28886.6,32198.0,1.0,0.0,4,8
66.0,10.0.0.1-10.0.0.5,379.3335,1522.0,31154.2,32369.5,1.0,0.0,4,8
67.0,10.0.0.1-10.0.0.5,401.5942,1920.0,26145.5,31772.1,1.0,0.0,4,8
68.0,10.0.0.1-10.0.0.5,401.4526,1698.0,29553.3,32264.7,1.0,0.0,4,8
69.0,10.0.0.1-10.0.0.5,399.3446,1654.0,30180.2,32314.1,1.0,0.0,4,8
70.0,10.0.0.1-10.0.0.5,385.1533,1557.0,30921.1,32353.2,1.0,0.0,4,8
71.0,10.0.0.1-10.0.0.5,254.8447,1087.0,29306.0,32242.5,1.0,0.0,4,8
72.0,10.0.0.1-10.0.0.5,157.6365,696.0,28311.1,32131.4,1.0,0.0,4,8
73.0,10.0.0.1-10.0.0.5,377.3021,1635.0,28845.7,32192.9,1.0,0.0,4,8
74.0,10.0.0.1-10.0.0.5,400.9743,1779.0,28174.1,32110.1,1.0,0.0,4,8
75.0,10.0.0.1-10.0.0.5,399.9019,1723.0,29012.0,32210.5,1.0,0.0,4,8
76.0,10.0.0.1-10.0.0.5,315.3297,1410.0,27954.8,32079.2,1.0,0.0,4,8
77.0,10.0.0.1-10.0.0.5,360.0199,1631.0,27592.0,32025.6,1.0,0.0,4,8
78.0,10.0.0.1-10.0.0.5,401.5313,1824.0,27517.2,32014.9,1.0,0.0,4,8
79.0,10.0.0.1-10.0.0.5,401.5429,1846.0,27190.1,31962.7,1.0,0.0,4,8
80.0,10.0.0.1-10.0.0.5,401.5197,1802.0,27852.4,32064.9,1.0,0.0,4,8
81.0,10.0.0.1-10.0.0.5,400.9788,1753.0,28592.3,32161.9,1.0,0.0,4,8
82.0,10.0.0.1-10.0.0.5,339.0703,1603.0,26440.3,31826.2,1.0,0.0,4,8
83.0,10.0.0.1-10.0.0.5,345.7927,1513.0,28568.5,32159.5,1.0,0.0,4,8
84.0,10.0.0.1-10.0.0.5,337.9331,1516.0,27863.9,32066.1,1.0,0.0,4,8
85.0,10.0.0.1-10.0.0.5,399.8863,1693.0,29525.0,32261.3,1.0,0.0,4,8
86.0,10.0.0.1-10.0.0.5,392.5736,1768.0,27755.5,32051.9,1.0,0.0,4,8
87.0,10.0.0.1-10.0.0.5,96.7088,434.0,27853.9,32063.1,1.0,0.0,4,8
109.0,10.0.0.1-10.0.0.5,119.8924,664.0,22570.1,30474.8,1.0,0.0,2,4
110.0,10.0.0.1-10.0.0.5,174.5504,922.0,23664.6,31178.1,1.0,0.0,2,4
111.0,10.0.0.1-10.0.0.5,165.5701,800.0,25870.3,31718.2,1.0,0.0,2,4
112.0,10.0.0.1-10.0.0.5,119.2928,535.0,27872.2,32013.3,1.0,0.0,2,4
113.0,10.0.0.1-10.0.0.5,92.9961,379.0,30671.5,32346.7,1.0,0.0,2,4
114.0,10.0.0.1-10.0.0.5,110.8926,513.0,27020.6,31935.8,1.0,0.0,2,4
115.0,10.0.0.1-10.0.0.5,177.6059,808.0,27476.2,31815.5,1.0,0.0,2,4
116.0,10.0.0.1-10.0.0.5,172.916,811.0,26651.7,31870.5,1.0,0.0,2,4
117.0,10.0.0.1-10.0.0.5,54.6907,292.0,23412.1,31101.0,1.0,0.0,2,4
120.0,10.0.0.1-10.0.0.5,214.4944,1100.0,24374.4,31148.5,1.0,0.0,2,4
121.0,10.0.0.1-10.0.0.5,94.07,427.0,27538.1,32019.8,1.0,0.0,2,4
122.0,10.0.0.1-10.0.0.5,273.3637,1390.0,24583.1,31422.7,1.0,0.0,2,4
123.0,10.0.0.1-10.0.0.5,90.3972,416.0,27162.6,31959.0,1.0,0.0,2,4
124.0,10.0.0.1-10.0.0.5,350.9973,1626.0,26983.2,31595.4,1.0,0.0,2,4
125.0,10.0.0.1-10.0.0.5,273.314,1296.0,26361.3,31815.8,1.0,0.0,2,4
126.0,10.0.0.1-10.0.0.5,273.3362,1338.0,25535.9,31646.3,1.0,0.0,2,4
127.0,10.0.0.1-10.0.0.5,259.093,1178.0,27492.9,31913.1,1.0,0.0,2,4
128.0,10.0.0.1-10.0.0.5,1.0507,4.0,32834.0,32393.1,1.0,0.0,2,4
130.0,10.0.0.1-10.0.0.5,58.9124,356.0,20685.5,29462.9,1.0,0.0,2,4
131.0,10.0.0.1-10.0.0.5,174.2637,843.0,25839.8,31499.8,1.0,0.0,2,4
132.0,10.0.0.1-10.0.0.5,102.9991,452.0,28484.3,32150.3,1.0,0.0,2,4
133.0,10.0.0.1-10.0.0.5,235.7988,984.0,29954.1,31997.1,1.0,0.0,2,4
134.0,10.0.0.1-10.0.0.5,135.7692,618.0,27461.4,31946.1,1.0,0.0,2,4
135.0,10.0.0.1-10.0.0.5,235.4639,1104.0,26660.3,31871.6,1.0,0.0,2,4
136.0,10.0.0.1-10.0.0.5,56.7593,258.0,27499.7,32013.0,1.0,0.0,2,4
137.0,10.0.0.1-10.0.0.5,320.1458,1358.0,29468.5,32014.3,1.0,0.0,2,4
138.0,10.0.0.1-10.0.0.5,56.789,294.0,24145.0,31304.9,1.0,0.0,2,4
140.0,10.0.0.1-10.0.0.5,35.7877,250.0,17893.9,27864.1,1.0,0.0,2,4
